Description,License Requirements,Reporting Requirements,List Based License Exceptions,Special Conditions for STA,List of Items Controlled
"
1D999 Specific software, n.e.s., as follows (see
List of Items Controlled).

","[[""NSappliesto\u201Ctechnology\u201Dfor\ritems controlled by 1A004"",""NS Column 2.""],[""MTappliesto\u201Ctechnology\u201Dfor\ritems controlled by 1A101, 1B001,\r1B101, 1B102, 1B115 to 1B119,\r1C001,1C007,1C011,1C101,\r1C102,1C107,1C111,1C116,\r1C117, or 1C118 for MT reasons"",""MT Column 1.""],[""NPappliesto\u201Ctechnology\u201Dfor\ritems controlled by 1A002, 1A007,\r1B001,1B101,1B201,1B225,\r1B226, 1B228 to 1B234, 1C002,\r1C010,1C111,1C116,1C202,\r1C210, 1C216, 1C225 to 1C237, or\r1C239 to 1C241 for NP reasons"",""NP Column 1.""],[""CBappliesto\u201Ctechnology\u201Dfor\ritems controlled by 1C351, 1C353,\ror 1C354"",""CB Column 1.""],[""CBappliesto\u201Ctechnology\u201Dfor\rmaterials controlled by 1C350 and\rfor chemical detection systems and\rdedicateddetectorstherefor,in\r1A004.c,thatalsohavethe\rtechnical characteristics described\rin 2B351.a"",""CB Column 2.""],[""RSappliestotechnologyfor\requipment controlled in 1A004.d"",""RS Column 2.""],[""AT applies to entire entry"",""AT Column 1.""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls: See also 1B999
Related Definitions: N/A
Items:


a. Software 'specially designed' for industrial
process control hardware/systems controlled by
1B999, n.e.s.;


b. Software 'specially designed' for equipment
for the production of structural composites,
fibers, prepregs and preforms controlled by
1B999, n.e.s.




E. 'TECHNOLOGY'

"
"
1E001 'Technology' according to the General
Technology Note for the 'development' or
'production' of items controlled by 1A002,
1A003, 1A004, 1A005, 1A006.b, 1A007, 1A008
1A101, 1B (except 1B608, 1B613 or 1B999), or
1C (except 1C355, 1C608, 1C980 to 1C984,
1C988, 1C990, 1C991, 1C995 to 1C999).

","[[""NS applies to entire entry,\rexcept 1E002.g"",""NS Column 1""],[""NS applies to 1E002.g"",""NS Column 2""],[""MT applies to 1E002.e"",""MT Column 1""],[""NP applies to \u201Ctechnology\u201D\rforitemscontrolledby\r1A002 for NP reasons."",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]","
Reporting Requirements




See § 743.1 of the EAR for reporting
requirements for exports under License
Exceptions, and Validated End-User
authorizations.

","
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: Yes, except for the following:
1)  Items controlled for MT reasons;
or
2) Exports and reexports to
destinations outside of those








A:5 (See Supplement No. 1 to part
740 of the EAR) of 'technology' for
the 'development' or production' of
the following:


(a) Items controlled by 1C001;
or
(b) Items controlled by 1A002.a
which are composite structures or
laminates having an organic
'matrix' and being made from
materials listed under 1C010.c or
1C010.d.

","
Special Conditions for STA


STA: License Exception STA may not be
used to ship or transmit 'technology'
according to the General Technology
Note for the 'development' or
'production' of equipment and
materials specified by ECCNs
1A002, 1C001, 1C007.c , 1C010.c or
d or 1C012 to any of the destinations
listed in Country Group A:6 (See
Supplement No.1 to part 740 of the
EAR).

","
List of Items Controlled


Related Controls (1) Also see ECCNs
1E101, 1E201, and 1E202.  (2) See ECCN
1E608 for 'technology' for items
c lassified under ECCN 1B608 or 1C608
th
a t ,   i m m  e d  ia t e l y   p r i o r   t o   J u l y    1 ,   2 0 1 4 ,
were classified under ECCN 1B018.a or
1C018.b through .m (note that ECCN
1E001 controls 'development' and
'production' 'technology' for chlorine
trifluoride controlled by ECCN
1C111.a.3.f – see ECCN 1E101 for
controls on 'use' 'technology' for
chlorine trifluoride).  (3) See ECCN
1E002.g for control libraries (parametric
technical databases) 'specially designed'
or modified to enable equipment to
perform the functions of equipment
controlled under ECCN 1A004.c (Nuclear,
biological and chemical (NBC) detection
systems) or ECCN 1A004.d (Equipment






for detecting or identifying explosives
residues).  (4) 'Technology' for lithium
isotope separation (see related ECCN
1B233) and 'technology' for items
described in ECCN 1C012 are subject to
the export licensing authority of the
Department of Energy (see 10 CFR part
810).  (5) 'Technology' for items
described in ECCN 1A102 is 'subject to
the ITAR' (see 22 CFR parts 120 through
130).


Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1E002 Other 'technology' as follows (see List
of Items Controlled).

","[[""MTappliesto\u201Ctechnology\u201D\rfor commodities and software\rcontrolled by 1A101, 1A102,\r1B001, 1B101, 1B102, 1B115\rto1B119,1C001,1C007,\r1C011,1C101,1C107,\r1C111,1C116,1C117,\r1C118,1D001,1D101,or\r1D103 for MT reasons"",""MT Column 1""],[""NPappliesto\u201Ctechnology\u201D\rforitemscontrolledby\r1B001,1B101,1C111,\r1C116, 1D001, or 1D101 for\rNP reasons"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]","
Reporting Requirements


See § 743.1 of the EAR for reporting
requirements for exports under License
Exceptions, and Validated End-User
authorizations.

","
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV:   N/A










License Exceptions Note:  License
Exception TSU is not applicable for the
repair 'technology' controlled by 1E002.e
or .f, see Supplement No. 2 to part 774.

","
Special Conditions for STA


STA: License Exception STA may not be
used to ship or transmit any item in
1E002.e or .f to any of the
destinations listed in Country Group
A:6 (See Supplement No.1 to part
740 of the EAR).

","
List of Items Controlled


Related Controls: See also 1E001, 1E101,
1E102, 1E202, and 1E994 for 'technology'
related to 1E002.e or .f.


Related Definitions:  N/A
Items:


a. 'Technology' for the 'development' or
'production' of polybenzothiazoles or
polybenzoxazoles;


b. 'Technology' for the 'development' or
'production' of fluoroelastomer compounds
containing at least one vinylether monomer;


c. 'Technology' for the design or 'production'
of the following ceramic powders or
non-'composite' ceramic materials:
c.1. Ceramic powders having all of the
following:


c . 1 .a          A  n y      o f     t h e     f o l l o w  in g
compositions:


c.1.a.1. Single or complex oxides of
zirconium and complex oxides of silicon or
aluminum;


c.1.a.2. Single nitrides of boron
(cubic crystalline forms);


c.1.a.3. Single or complex carbides
of silicon or boron; or








c.1.a.4. Single or complex nitrides of
silicon;


c.1.b. Any of the following total metallic
impurities (excluding intentional additions):


c.1.b.1. Less than 1,000 ppm for
single oxides or carbides; or


c.1.b.2. Less than 5,000 ppm for
complex compounds or single nitrides; and


c.1.c. Being any of the following:


c.1.c.1. Zirconia (CAS 1314-23-4)
with an average particle size equal to or less than
1 µm and no more than 10% of the particles
larger than 5 µm; or


c.1.c.2. Other ceramic powders with
an average particle size equal to or less than 5 µm
and no more than 10% of the particles larger than
10 µm;


c.2. Non-'composite' ceramic materials
composed of the materials described in
1E002.c.1;


Note:  1E002.c.2 does not control
'technology' for abrasives.


d. [Reserved]


e. 'Technology' for the installation, maintenance
or repair of materials controlled by 1C001;


f. 'Technology' for the repair of 'composite'
structures, laminates or materials controlled by
1A002 or 1C007.c;


Note:  1E002.f does not control
'technology' for the repair of 'civil aircraft'
structures using carbon 'fibrous or filamentary
materials' and epoxy resins, contained in
'aircraft' manufacturers’ manuals.


g. 'Libraries' 'specially designed' or modified
to enable equipment to perform the functions of
equipment controlled under 1A004.c or 1A004.d.









"
"
1E101 'Technology', in accordance with  the
General Technology Note,  for the 'use' of
commodities and 'software' controlled by
1A101, 1A102, 1B001, 1B101, 1B102, 1B115 to
1B119, 1C001, 1C007, 1C011, 1C101, 1C107,
1C111, 1C116, 1C117, 1C118, 1D001, 1D101,
or 1D103.

","[[""MT applies to entire entry"",""MT Column 1""],[""NPappliesto\r\u201Ctechnology\u201Dforitems\rcontrolled by 1D001 and\r1D101 for NP reasons"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls: 'Technology' for items
controlled by 1A102 is 'subject to the ITAR'
(see 22 CFR parts 120 through 130).


Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.









"
"
1E102 'Technology' according to the General
Technology Note for the 'development' of
software controlled by 1D001, 1D101 or
1D103.

","[[""MT applies to entire entry"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A",,"
List of Items Controlled


Related Controls: This entry includes
databases 'specially designed' for analysis
of signature reduction.
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1E103 'Technical data' (including processing
conditions) and procedures for the regulation
of temperature, pressure or atmosphere in
autoclaves or hydroclaves, when used for the
'production' of 'composites' or partially
processed 'composites', usable for equipment
or materials specified in 1C007, 1C102,
1C107, 1C116, 1C117, 1C118, 9A110, and
9C110.

","[[""MT applies to entire entry"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV:  N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls: See also 1E203
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1E104 'Technology'  for the 'production' of
pyrolytically derived materials formed on a
mold, mandrel or other substrate from
precursor gases which decompose in the 1,573
K (1,300 C) to 3,173 K (2,900 C)
temperature range at pressures of 130 Pa (1
mm Hg) to 20 kPa (150 mm Hg), including
'technology' for the composition of precursor
gases, flow-rates and process control
schedules and parameters.

","[[""NP applies to entire entry,\rfor items controlled for\rNP reasons."",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A









",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1E201  'Technology' according to the
General Technology Note for the 'use' of
items controlled by 1A002, 1A007, 1A202,","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,,,
"
1A225 to 1A227, 1B201, 1B225, 1B226, 1B228
to 1B232, 1B233.b, 1B234, 1C002.b.3 and b.4,
1C010.a, 1C010.b, 1C010.e.1, 1C202, 1C210,
1C216, 1C225 to 1C237, 1C239 to 1C241 or
1D201.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1E202 'Technology' according to the General
Technology Note for the 'development' or






'production' of goods controlled by 1A202 or","[[""CB applies to entire entry"",""CB Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,,,
"
1A225 to 1A227.

","[[""CBappliesto\u201Ctechnology\u201D\rforthedisposalofitems\rcontrolled by 1C351, 1C353,\ror 1C354"",""CB Column 1""],[""CBappliesto\u201Ctechnology\u201D\rforthedisposalofitems\rcontrolled by 1C350"",""CB Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1E203  'Technology' according to the
General Technology Note for the
'development' or 'production' of 'software'
controlled by 1D201.

","[[""CW applies to\rentire entry."",""A license is required for CW\rreasonstoCWCnon-States\rParties(destinationsnot\rlisted in Supplement No. 2 to\rpart745),\rexceptforIsrael\rand Taiwan.  See §742.18 of\rtheEAR.TheCommerce\rCountryChartisnot\rdesignedtodetermine\rlicensingrequirementsfor\ritemscontrolledforCW""]]",,"
